KEY_CODE,PREF_N,CITY_N,KCITY_N,AGRI_N,T001068001,T001068002,T001068003,T001068004,T001068005,T001068006,T001068007,T001068008,T001068009,T001068010,T001068011,T001068012,T001068013,T001068014,T001068015
,,,,,法制上の地域指定に該当している農業集落数_実農業集落数,法制上の地域指定に該当している農業集落数_都市計画区域_線引きあり_市街化区域,法制上の地域指定に該当している農業集落数_都市計画区域_線引きあり_市街化調整区域,法制上の地域指定に該当している農業集落数_都市計画区域_線引きなし,法制上の地域指定に該当している農業集落数_農業振興地域,法制上の地域指定に該当している農業集落数_農業振興地域_農用地区域,法制上の地域指定に該当している農業集落数_振興山村地域,法制上の地域指定に該当している農業集落数_豪雪地帯,法制上の地域指定に該当している農業集落数_豪雪地帯_特別豪雪地帯,法制上の地域指定に該当している農業集落数_離島振興対策実施地域,法制上の地域指定に該当している農業集落数_特定農山村地域,法制上の地域指定に該当している農業集落数_過疎地域,法制上の地域指定に該当している農業集落数_半島振興対策実施地域,法制上の地域指定に該当している農業集落数_特認地域,いずれの指定もない農業集落数
1500000000,新潟県,,,,5093,423,1310,2029,5002,4546,695,5093,2783,361,2132,2098,-,140,-
1510100000,新潟県,北区,,,81,33,81,-,81,77,-,81,-,-,-,-,-,-,-
1510101000,新潟県,北区,松ヶ崎浜村２－１,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1510101001,新潟県,北区,松ヶ崎浜村２－１,本村一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1510101002,新潟県,北区,松ヶ崎浜村２－１,本村二,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1510102000,新潟県,北区,濁川村,,8,5,8,-,8,7,-,8,-,-,-,-,-,-,-
1510102001,新潟県,北区,濁川村,松潟,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-
1510102002,新潟県,北区,濁川村,築上山,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-
1510102003,新潟県,北区,濁川村,新崎上通,1,1,1,-,1,1,-,1,-,-,-,-,-,-,-
1510102004,新潟県,北区,濁川村,新崎下通,1,1,1,-,1,1,-,1,-,-,-,-,-,-,-
1510102005,新潟県,北区,濁川村,濁川東,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-
1510102006,新潟県,北区,濁川村,濁川西,1,1,1,-,1,1,-,1,-,-,-,-,-,-,-
1510102007,新潟県,北区,濁川村,名目所,1,1,1,-,1,1,-,1,-,-,-,-,-,-,-
1510102008,新潟県,北区,濁川村,西名目所,1,1,1,-,1,-,-,1,-,-,-,-,-,-,-
1510103000,新潟県,北区,南浜村,,6,5,6,-,6,5,-,6,-,-,-,-,-,-,-
1510103001,新潟県,北区,南浜村,太郎代,1,1,1,-,1,-,-,1,-,-,-,-,-,-,-
1510103002,新潟県,北区,南浜村,島見町,1,1,1,-,1,1,-,1,-,-,-,-,-,-,-
1510103003,新潟県,北区,南浜村,島見町加治川,1,1,1,-,1,1,-,1,-,-,-,-,-,-,-
1510103004,新潟県,北区,南浜村,太夫浜,1,1,1,-,1,1,-,1,-,-,-,-,-,-,-
1510103005,新潟県,北区,南浜村,神谷内,1,1,1,-,1,1,-,1,-,-,-,-,-,-,-
1510103006,新潟県,北区,南浜村,新富町,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-
1510104000,新潟県,北区,木崎村２－２,,2,1,2,-,2,2,-,2,-,-,-,-,-,-,-
1510104001,新潟県,北区,木崎村２－２,松栄町,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-
1510104002,新潟県,北区,木崎村２－２,白勢町,1,1,1,-,1,1,-,1,-,-,-,-,-,-,-
1510105000,新潟県,北区,葛塚町,,20,10,20,-,20,20,-,20,-,-,-,-,-,-,-
1510105001,新潟県,北区,葛塚町,樋ノ内,1,1,1,-,1,1,-,1,-,-,-,-,-,-,-
1510105002,新潟県,北区,葛塚町,上大口,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1510105003,新潟県,北区,葛塚町,中大口,1,1,1,-,1,1,-,1,-,-,-,-,-,-,-
1510105004,新潟県,北区,葛塚町,下大口,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1510105005,新潟県,北区,葛塚町,正尺,1,1,1,-,1,1,-,1,-,-,-,-,-,-,-
1510105006,新潟県,北区,葛塚町,城山,1,1,1,-,1,1,-,1,-,-,-,-,-,-,-
1510105007,新潟県,北区,葛塚町,松影,1,1,1,-,1,1,-,1,-,-,-,-,-,-,-
1510105008,新潟県,北区,葛塚町,村新田,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-
1510105009,新潟県,北区,葛塚町,上黒山一区,1,1,1,-,1,1,-,1,-,-,-,-,-,-,-
1510105010,新潟県,北区,葛塚町,上黒山二区,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-
1510105011,新潟県,北区,葛塚町,上黒山三区,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-
1510105012,新潟県,北区,葛塚町,中黒山,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-
1510105013,新潟県,北区,葛塚町,下黒山,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-
1510105014,新潟県,北区,葛塚町,椋,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-
1510105015,新潟県,北区,葛塚町,名山,1,1,1,-,1,1,-,1,-,-,-,-,-,-,-
1510105016,新潟県,北区,葛塚町,法花鳥屋,1,1,1,-,1,1,-,1,-,-,-,-,-,-,-
1510105017,新潟県,北区,葛塚町,前新田,1,1,1,-,1,1,-,1,-,-,-,-,-,-,-
1510105018,新潟県,北区,葛塚町,前新田沖,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-
1510105019,新潟県,北区,葛塚町,新鼻甲,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-
1510105020,新潟県,北区,葛塚町,新鼻,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-
1510105021,新潟県,北区,葛塚町,上嘉山,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-
1510105022,新潟県,北区,葛塚町,中嘉山,1,1,1,-,1,1,-,1,-,-,-,-,-,-,-
1510105023,新潟県,北区,葛塚町,下嘉山,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1510105024,新潟県,北区,葛塚町,町浦,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1510105025,新潟県,北区,葛塚町,稲荷浦,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1510106000,新潟県,北区,木崎村２－１,,16,9,16,-,16,15,-,16,-,-,-,-,-,-,-
1510106001,新潟県,北区,木崎村２－１,須戸,1,1,1,-,1,1,-,1,-,-,-,-,-,-,-
1510106002,新潟県,北区,木崎村２－１,仏伝,1,1,1,-,1,-,-,1,-,-,-,-,-,-,-
1510106003,新潟県,北区,木崎村２－１,早通,1,1,1,-,1,1,-,1,-,-,-,-,-,-,-
1510106004,新潟県,北区,木崎村２－１,下早通,1,1,1,-,1,1,-,1,-,-,-,-,-,-,-
1510106005,新潟県,北区,木崎村２－１,尾山,1,1,1,-,1,1,-,1,-,-,-,-,-,-,-
1510106006,新潟県,北区,木崎村２－１,樋ノ入,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-
1510106007,新潟県,北区,木崎村２－１,下大谷内,1,1,1,-,1,1,-,1,-,-,-,-,-,-,-
1510106008,新潟県,北区,木崎村２－１,笹山,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-
1510106009,新潟県,北区,木崎村２－１,横土居,1,1,1,-,1,1,-,1,-,-,-,-,-,-,-
1510106010,新潟県,北区,木崎村２－１,浦ノ入,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-
1510106011,新潟県,北区,木崎村２－１,笠柳,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-
1510106012,新潟県,北区,木崎村２－１,横井,1,1,1,-,1,1,-,1,-,-,-,-,-,-,-
1510106013,新潟県,北区,木崎村２－１,鳥屋,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-
1510106014,新潟県,北区,木崎村２－１,芋黒,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-
1510106015,新潟県,北区,木崎村２－１,木崎,1,1,1,-,1,1,-,1,-,-,-,-,-,-,-
1510106016,新潟県,北区,木崎村２－１,内島見,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-
1510107000,新潟県,北区,岡方村,,15,1,15,-,15,15,-,15,-,-,-,-,-,-,-
1510107001,新潟県,北区,岡方村,平林,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-
1510107002,新潟県,北区,岡方村,十二,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-
1510107003,新潟県,北区,岡方村,山飯野,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-
1510107004,新潟県,北区,岡方村,灰塚,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-
1510107005,新潟県,北区,岡方村,長戸呂,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-
1510107006,新潟県,北区,岡方村,大瀬柳,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-
1510107007,新潟県,北区,岡方村,大迎,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-
1510107008,新潟県,北区,岡方村,大久保,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-
1510107009,新潟県,北区,岡方村,太子堂,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-
1510107010,新潟県,北区,岡方村,三ツ屋,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-
1510107011,新潟県,北区,岡方村,高森,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-
1510107012,新潟県,北区,岡方村,森下,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-
1510107013,新潟県,北区,岡方村,高森新田,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-
1510107014,新潟県,北区,岡方村,兄弟堀,1,1,1,-,1,1,-,1,-,-,-,-,-,-,-
1510107015,新潟県,北区,岡方村,胡桃山,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-
1510108000,新潟県,北区,長浦村,,14,2,14,-,14,13,-,14,-,-,-,-,-,-,-
1510108001,新潟県,北区,長浦村,上大月,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-
1510108002,新潟県,北区,長浦村,岡新田,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-
1510108003,新潟県,北区,長浦村,里飯野,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-
1510108004,新潟県,北区,長浦村,長戸,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-
1510108005,新潟県,北区,長浦村,新井郷,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-
1510108006,新潟県,北区,長浦村,上堀田,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-
1510108007,新潟県,北区,長浦村,大月,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-
1510108008,新潟県,北区,長浦村,長場,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-
1510108009,新潟県,北区,長浦村,内沼,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-
1510108010,新潟県,北区,長浦村,内沼沖,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-
1510108011,新潟県,北区,長浦村,浦木,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-
1510108012,新潟県,北区,長浦村,上土地亀,1,1,1,-,1,1,-,1,-,-,-,-,-,-,-
1510108013,新潟県,北区,長浦村,川前,1,1,1,-,1,-,-,1,-,-,-,-,-,-,-
1510108014,新潟県,北区,長浦村,下土地亀,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-
1510200000,新潟県,東区,,,16,14,16,-,16,15,-,16,-,-,-,-,-,-,-
1510201000,新潟県,東区,新潟市２－１,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1510201001,新潟県,東区,新潟市２－１,山ノ下通・末広町・東新町,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1510201002,新潟県,東区,新潟市２－１,神明町・臨港町１・浜町,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1510201003,新潟県,東区,新潟市２－１,臨港町２・桃山町２,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1510201004,新潟県,東区,新潟市２－１,東大山町・秋葉通２、３,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1510202000,新潟県,東区,石山村２－１,,4,4,4,-,4,4,-,4,-,-,-,-,-,-,-
1510202001,新潟県,東区,石山村２－１,石山,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1510202002,新潟県,東区,石山村２－１,粟山,1,1,1,-,1,1,-,1,-,-,-,-,-,-,-
1510202003,新潟県,東区,石山村２－１,中野山,1,1,1,-,1,1,-,1,-,-,-,-,-,-,-
1510202004,新潟県,東区,石山村２－１,下場,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1510202005,新潟県,東区,石山村２－１,猿ケ馬場,1,1,1,-,1,1,-,1,-,-,-,-,-,-,-
1510202006,新潟県,東区,石山村２－１,中児,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1510202007,新潟県,東区,石山村２－１,竹尾,1,1,1,-,1,1,-,1,-,-,-,-,-,-,-
1510202008,新潟県,東区,石山村２－１,紫竹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1510202009,新潟県,東区,石山村２－１,中山,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1510202010,新潟県,東区,石山村２－１,牡丹山,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1510202011,新潟県,東区,石山村２－１,上木戸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1510202012,新潟県,東区,石山村２－１,中木戸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1510202013,新潟県,東区,石山村２－１,下木戸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1510202014,新潟県,東区,石山村２－１,山木戸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1510203000,新潟県,東区,大形村,,11,9,11,-,11,10,-,11,-,-,-,-,-,-,-
1510203001,新潟県,東区,大形村,海老ケ瀬,1,1,1,-,1,1,-,1,-,-,-,-,-,-,-
1510203002,新潟県,東区,大形村,海老ケ瀬新田,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1510203003,新潟県,東区,大形村,逢谷内,1,1,1,-,1,-,-,1,-,-,-,-,-,-,-
1510203004,新潟県,東区,大形村,寺山,1,1,1,-,1,1,-,1,-,-,-,-,-,-,-
1510203005,新潟県,東区,大形村,岡山,1,1,1,-,1,1,-,1,-,-,-,-,-,-,-
1510203006,新潟県,東区,大形村,石動,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-
1510203007,新潟県,東区,大形村,本所,1,1,1,-,1,1,-,1,-,-,-,-,-,-,-
1510203008,新潟県,東区,大形村,中興野,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1510203009,新潟県,東区,大形村,一日市,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-
1510203010,新潟県,東区,大形村,津島屋,1,1,1,-,1,1,-,1,-,-,-,-,-,-,-
1510203011,新潟県,東区,大形村,新川,1,1,1,-,1,1,-,1,-,-,-,-,-,-,-
1510203012,新潟県,東区,大形村,松崎,1,1,1,-,1,1,-,1,-,-,-,-,-,-,-
1510203013,新潟県,東区,大形村,河渡,1,1,1,-,1,1,-,1,-,-,-,-,-,-,-
1510203014,新潟県,東区,大形村,小金町・藤見町・浜谷町・船江町,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1510204000,新潟県,東区,松ヶ崎浜村２－２,,1,1,1,-,1,1,-,1,-,-,-,-,-,-,-
1510204001,新潟県,東区,松ヶ崎浜村２－２,下山,1,1,1,-,1,1,-,1,-,-,-,-,-,-,-
1510300000,新潟県,中央区,,,7,6,7,-,7,5,-,7,-,-,-,-,-,-,-
1510301000,新潟県,中央区,新潟市２－２,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1510301001,新潟県,中央区,新潟市２－２,堀割町・浜松町・競馬町,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1510301002,新潟県,中央区,新潟市２－２,関屋大川前・有明台,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1510301003,新潟県,中央区,新潟市２－２,関屋本村１,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1510301004,新潟県,中央区,新潟市２－２,関屋１、２・田町２・学校２,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1510301005,新潟県,中央区,新潟市２－２,蒲原・長嶺,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1510301006,新潟県,中央区,新潟市２－２,日ノ出町１、３・鏡ヶ岡・西馬越,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1510301007,新潟県,中央区,新潟市２－２,寺町上４ノ町・蒲原１・東竜ケ島,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1510301008,新潟県,中央区,新潟市２－２,入舟地区全域,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1510301009,新潟県,中央区,新潟市２－２,白山浦・学校町１,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1510301010,新潟県,中央区,新潟市２－２,古町通・西堀通,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1510301011,新潟県,中央区,新潟市２－２,東堀・上大川前・万代,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
