KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T000846001,T000846002,T000846003,T000846004,T000846005,T000846006,T000846007,T000846008,T000846009,T000846010,T000846011,T000846012,T000846013,T000846014,T000846015,T000846016,T000846017,T000846018,T000846019,T000846020,T000846021,T000846022,T000846023,T000846024,T000846025,T000846026,T000846027,T000846028,T000846029,T000846030,T000846031,T000846032,T000846033,T000846034,T000846035,T000846036,T000846037,T000846038,T000846039,T000846040,T000846041
,,,,Å@êlå˚ëçêî,Å@êlå˚ëçêîÅ@íj,Å@êlå˚ëçêîÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇQêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇRêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇSêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇTêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇUêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—ÇÃàÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃàÍî ê¢ë—êî,Å@äjâ∆ë∞ÇÃàÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃàÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@çÇóÓíPêgÇÃàÍî ê¢ë—êî,Å@çÇóÓïvïwÇÃÇ›ÇÃàÍî ê¢ë—êî
56390002,0,,,57,27,30,2,0,2,55,27,28,31,18,13,55,27,28,24,9,15,12,4,8,0,0,0,22,22,3,10,4,4,0,1,0,19,13,6,1,17,0,3,4
56390003,1,,56390004,92,44,48,3,0,3,91,45,46,43,20,23,90,45,45,48,25,23,28,15,13,0,0,0,37,37,7,18,6,4,2,0,1,31,25,6,0,30,0,4,12
56390004,2,56390003,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
56390007,1,,56390017,13,7,6,0,0,0,16,9,7,8,4,4,16,9,7,8,5,3,5,3,2,0,0,0,5,5,0,2,4,0,0,0,0,6,4,2,0,6,0,0,0
56390009,0,,,12,6,6,1,0,1,11,6,5,6,4,2,10,5,5,5,2,3,2,0,2,0,0,0,5,5,1,2,1,1,0,0,0,4,3,1,0,4,0,1,1
56390013,0,,,278,140,138,12,9,3,266,131,135,132,74,58,259,128,131,134,57,77,85,32,53,0,0,0,106,106,23,34,23,15,8,3,0,83,51,32,5,87,0,17,18
56390014,0,,,41,21,20,1,0,1,40,21,19,24,14,10,37,18,19,16,7,9,8,3,5,0,0,0,16,16,6,3,2,3,1,1,0,10,4,6,0,11,0,2,2
56390017,2,56390007,,3,2,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
56390019,0,,,16,10,6,0,0,0,16,10,6,10,7,3,15,9,6,6,3,3,3,1,2,0,0,0,5,5,1,0,3,0,0,1,0,4,2,2,0,4,0,0,0
56390022,1,,56390032,65,35,30,4,2,2,69,35,34,37,20,17,66,33,33,32,15,17,18,7,11,2,0,2,23,23,7,10,3,3,5,0,0,21,14,7,2,23,0,5,7
56390023,1,,56390033,251,119,132,23,12,11,230,108,122,128,63,65,226,107,119,102,45,57,63,26,37,0,0,0,97,97,22,37,17,13,4,3,2,76,56,20,7,71,0,13,20
56390025,0,,,621,293,328,43,25,18,578,268,310,271,143,128,561,262,299,307,125,182,180,58,122,1,0,1,240,238,64,86,41,21,13,11,2,173,126,47,8,186,0,45,43
56390032,2,56390022,,8,2,6,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
56390033,2,56390023,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
56390034,0,,,25,11,14,2,1,1,23,10,13,14,7,7,23,10,13,9,3,6,7,2,5,0,0,0,9,9,3,1,2,2,0,1,0,6,1,5,1,8,0,2,1
56390035,0,,,348,180,168,48,29,19,300,151,149,181,98,83,284,140,144,119,53,66,72,30,42,0,0,0,138,138,38,47,18,21,7,6,1,100,77,23,6,85,1,23,22
56390036,0,,,75,37,38,7,3,4,68,34,34,28,16,12,64,31,33,40,18,22,28,10,18,0,0,0,25,24,5,11,2,1,3,1,1,19,13,6,1,19,0,4,6
56390040,0,,,17,7,10,0,0,0,17,7,10,10,4,6,15,7,8,7,3,4,5,2,3,0,0,0,8,8,3,3,1,0,1,0,0,5,4,1,0,6,0,2,0
56390042,0,,,57,29,28,0,0,0,57,29,28,25,16,9,57,29,28,32,13,19,22,6,16,0,0,0,25,25,6,12,3,2,2,0,0,19,15,4,0,22,0,5,6
56390045,0,,,110,51,59,11,4,7,99,47,52,45,20,25,99,47,52,54,27,27,32,11,21,0,0,0,48,48,17,19,5,1,3,1,2,31,22,9,3,38,0,12,14
56390046,1,,56390047,23,9,14,0,0,0,31,14,17,8,4,4,31,14,17,23,10,13,18,8,10,0,0,0,14,14,9,8,2,0,0,0,0,10,10,0,0,18,0,8,5
